mAbs,mAb specificty,Ground1_(6d),Ground2_(6d),Ground3_(6d),Ground4_(11d),Ground5_(11d),Ground6_(11d),Space1_(6d),Space2_(6d),Space3_(6d),Space4_(11d),Space5_(11d),Space6_(11d)
CCRC-M33,RG-I/AG,0.1245,0.1615,0.082,0.2035,0.1415,0.1285,0.086,0.137,0.07,0.1865,0.1945,0.184
CCRC-M32,RG-I/AG,0.0945,0.122,0.0585,0.138,0.114,0.0925,0.062,0.11,0.0585,0.1365,0.151,0.1285
CCRC-M13,RG-I/AG,0.2945,0.4105,0.1655,0.4245,0.346,0.2975,0.228,0.426,0.185,0.4475,0.4185,0.4015
CCRC-M42,RG-I/AG,0.131,0.147,0.075,0.186,0.1305,0.116,0.078,0.1305,0.076,0.188,0.1875,0.1685
CCRC-M24,RG-I/AG,0.149,0.1935,0.108,0.252,0.1565,0.1525,0.1115,0.153,0.101,0.223,0.2345,0.246
CCRC-M12,RG-I/AG,0.3055,0.4195,0.193,0.3515,0.338,0.2485,0.2195,0.37,0.1915,0.4005,0.3675,0.3475
CCRC-M7,RG-I/AG,0.181,0.2455,0.0975,0.2595,0.1925,0.1595,0.108,0.198,0.097,0.2635,0.272,0.2495
CCRC-M77,RG-I/AG,0.1455,0.168,0.08,0.2055,0.1265,0.0895,0.072,0.141,0.072,0.2235,0.215,0.153
CCRC-M25,RG-I/AG,0.157,0.2105,0.126,0.258,0.203,0.169,0.122,0.1965,0.1225,0.223,0.2545,0.235
CCRC-M9,RG-I/AG,0.1865,0.237,0.106,0.324,0.213,0.204,0.154,0.1915,0.1295,0.349,0.318,0.276
CCRC-M128,RG-I/AG,0.165,0.253,0.0955,0.263,0.1995,0.184,0.127,0.1835,0.1125,0.305,0.266,0.284
CCRC-M126,RG-I/AG,0.1705,0.191,0.102,0.274,0.1925,0.1715,0.1265,0.179,0.0935,0.279,0.2985,0.2465
